"gene","lfc","padj","logpadj","direction"
"LRRC8C",0.24628480948962,0.000574283313984629,3.24087380212329,"bldg"
"GATSL2",0.246158472389072,0.0477201914101741,1.3212978230022,"bldg"
"TEX2",0.246117794034911,0.00291900052303995,2.53476582719309,"bldg"
"PHF6",0.245903839489595,0.0157841231295611,1.80177953987698,"bldg"
"TAF3",0.245896616815232,0.0181122904094399,1.7420266270308,"bldg"
"SNX10",0.245512065083017,0.0915057284928452,1.0385517171362,"bldg"
"DAGLB",0.245442053023629,0.0544381661382352,1.26409651332652,"bldg"
"RP4-583P15.15",0.245331525703158,0.0224566467240166,1.64865509304251,"bldg"
"LARP1",0.245130457271151,0.021899023371117,1.65957525292209,"bldg"
"CECR5",0.24509256586285,0.0187363577114838,1.72731483071319,"bldg"
"BTAF1",0.245075998819926,0.0123736121347041,1.90750350156944,"bldg"
"NPLOC4",0.245032343532799,0.0565492785282925,1.24757293155515,"bldg"
"BICC1",0.244614076901386,0.0851134513722212,1.0700017983751,"bldg"
"RERG",0.244580636081928,0.0340439523713762,1.46796002574855,"bldg"
"PCDH18",0.244447643170897,0.0845003272701368,1.07314160902262,"bldg"
"BEND2",0.244384775131598,0.0539829247734578,1.26774358923924,"bldg"
"ILF2",0.243843687295486,0.0763973551350502,1.11692167637373,"bldg"
"SLC25A51",0.243802579823567,0.0185084706367777,1.73262946571219,"bldg"
"MAST4",0.243679471491451,0.0608240331183264,1.21592478605046,"bldg"
"HDLBP",0.243375457473948,0.0402075044878734,1.39569288090799,"bldg"
"PCIF1",0.243039660336446,0.0219107493460686,1.65934276934493,"bldg"
"LOC100859653",0.242772739316434,0.00123942174553466,2.90678088846481,"bldg"
"ARHGAP1",0.242533966157191,0.0225753160968438,1.64636616003311,"bldg"
"ASAP2",0.242469505932921,0.0319894523137957,1.49499319533735,"bldg"
"LRRN1",0.242448704489705,0.020714177582331,1.68373230487333,"bldg"
"ITSN1",0.242437898163755,0.0421623115500337,1.3750755869344,"bldg"
"SESTD1",0.242366399071285,0.064860844026976,1.18801740420031,"bldg"
"EPG5",0.242291716942237,0.0346750243836801,1.45998322485615,"bldg"
"PPFIBP1",0.242260548532,0.0566554486122852,1.24675831724876,"bldg"
"BMPER",0.2420135535033,0.0935798120106746,1.02881783158249,"bldg"
"TRPC4AP",0.241963573248848,0.0047249015399506,2.32560723712333,"bldg"
"CAMLG",0.241961609120043,0.0992498927356583,1.00326995392844,"bldg"
"KIF1A",0.241896718497716,0.0511093634194279,1.29149952826314,"bldg"
"MBD5",0.241868487105088,0.0608259697109819,1.21591095865244,"bldg"
"PRPF4",0.241758658688672,0.050649683559201,1.29542326360917,"bldg"
"ARMC1",0.24159164034896,0.0143230564187178,1.84396429738103,"bldg"
"MARCH5",0.241369140592455,0.0223420431531803,1.6508771136923,"bldg"
"CSE1L",0.24095948042153,0.00153822465358481,2.81298023235821,"bldg"
"CHMP7",0.240691317692515,0.0044951265928305,2.34725807305343,"bldg"
"ENTPD5",0.240608026410146,0.0527347542769195,1.27790307328915,"bldg"
"ZW10",0.239896142322877,0.022432850207463,1.64911554359341,"bldg"
"UBE2G1",0.23960926055522,0.0171045535995786,1.7668882556952,"bldg"
"ATP9A",0.239320590344859,0.00798465496412704,2.09774384601432,"bldg"
"ZC2HC1A",0.239180515243174,0.0781954394888423,1.10681857510621,"bldg"
"CASP3",0.239127972000606,0.0807185857218358,1.0930264560202,"bldg"
"MAP3K7",0.239017244238789,0.00371886937228574,2.42958907625029,"bldg"
"KIAA2013",0.238931866759799,0.00131821320888785,2.88001434091435,"bldg"
"CITED2",0.238752310161768,0.0994729727279308,1.00229490306918,"bldg"
"NXN",0.238665338026613,0.0768466771676433,1.11437490655013,"bldg"
