"gene","counts","sex","tissue","treatment","samples"
"AVP",5.09617484266787,"female","pituitary","prolong","r194.x_female_pituitary_prolong"
"AVP",5.53690923317395,"female","pituitary","inc.d3","r27.w111.blu125_female_pituitary_inc.d3"
"AVP",5.09617484266787,"female","pituitary","inc.d9","r30.w112.r46_female_pituitary_inc.d9"
"AVP",5.09617484266787,"female","pituitary","inc.d9","r36.w184.x_female_pituitary_inc.d9"
"AVP",5.45831488023261,"female","pituitary","inc.d17","r49.w189.x_female_pituitary_inc.d17"
"AVP",5.09617484266787,"female","pituitary","control","r6.x_female_pituitary_control"
"AVP",5.09617484266787,"female","pituitary","inc.d3","r73.g127.x_female_pituitary_inc.d3"
"AVP",5.09617484266787,"female","pituitary","bldg","r83.g45_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","n9","r95.blu99_female_pituitary_n9"
"AVP",5.58113779218937,"female","pituitary","lay","s.o.pk_female_pituitary_lay"
"AVP",5.28513150210196,"female","pituitary","prolong","s.pu.pk_female_pituitary_prolong"
"AVP",5.09617484266787,"female","pituitary","control","s.x.ATLAS_female_pituitary_control"
"AVP",5.09617484266787,"female","pituitary","early","s002.x_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","m.inc.d17","s038.g.d.blk_female_pituitary_m.inc.d17"
"AVP",5.09617484266787,"female","pituitary","bldg","s063.d.blk.l_female_pituitary_bldg"
"AVP",5.63498374742361,"female","pituitary","m.inc.d3","s069.pk.pu.g_female_pituitary_m.inc.d3"
"AVP",5.37998741976167,"female","pituitary","extend","s089.blk.pk.pu_female_pituitary_extend"
"AVP",5.5416581408331,"female","pituitary","early","s091.blk.r.g_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","bldg","s092.blk.r.o_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","m.inc.d3","s093.blk.y.d_female_pituitary_m.inc.d3"
"AVP",5.63428521192905,"female","pituitary","lay","s095.g.blk.o_female_pituitary_lay"
"AVP",5.2702105326301,"female","pituitary","m.inc.d17","s100.l.pk.blk_female_pituitary_m.inc.d17"
"AVP",5.57080832274395,"female","pituitary","m.inc.d3","s103.y.pk.blk_female_pituitary_m.inc.d3"
"AVP",5.43128015709177,"female","pituitary","lay","s136.d.w.o_female_pituitary_lay"
"AVP",5.26319694916436,"female","pituitary","extend","s137.g.blk.y_female_pituitary_extend"
"AVP",5.09617484266787,"female","pituitary","lay","s142.o.pk.pu_female_pituitary_lay"
"AVP",5.2602384942063,"female","pituitary","lay","s176.blk.pu.r_female_pituitary_lay"
"AVP",5.44496145961439,"female","pituitary","extend","s186.l.o.pk_female_pituitary_extend"
"AVP",5.83602469305492,"female","pituitary","m.n2","s333.y.blk.pk_female_pituitary_m.hatch"
"AVP",5.09617484266787,"female","pituitary","control","w191.r1_female_pituitary_control"
"AVP",5.09617484266787,"female","pituitary","prolong","x.blk20_female_pituitary_prolong"
"AVP",5.28319637781973,"female","pituitary","inc.d9","x.blu101.w43_female_pituitary_inc.d9"
"AVP",5.48206129298005,"female","pituitary","inc.d3","x.blu102.w105_female_pituitary_inc.d3"
"AVP",5.09617484266787,"female","pituitary","n5","x.blu109.w121_female_pituitary_n5"
"AVP",5.09617484266787,"female","pituitary","inc.d17","x.blu116.w107_female_pituitary_inc.d17.NYNO"
"AVP",5.09617484266787,"female","pituitary","inc.d9","x.blu122.r66_female_pituitary_inc.d9"
"AVP",5.09617484266787,"female","pituitary","m.inc.d9","x.blu25_female_pituitary_m.inc.d9"
"AVP",5.4727323613748,"female","pituitary","n9","x.blu43.g132_female_pituitary_n9"
"AVP",5.67439673824604,"female","pituitary","lay","x.blu6.y80_female_pituitary_lay"
"AVP",5.285020652055,"female","pituitary","m.inc.d17","x.blu94_female_pituitary_m.inc.d17"
"AVP",5.09617484266787,"female","pituitary","m.n2","x.blu96_female_pituitary_m.n2"
"AVP",5.29341856509303,"female","pituitary","early","x.g26_female_pituitary_m.inc.d8"
"AVP",5.09617484266787,"female","pituitary","n5","x.g37_female_pituitary_n5"
"AVP",5.44732400381808,"female","pituitary","n9","x.g4.w50_female_pituitary_n9"
"AVP",5.09617484266787,"female","pituitary","n5","x.g43_female_pituitary_n5"
"AVP",5.52637902508199,"female","pituitary","n5","x.g49_female_pituitary_n5.NYNO"
"AVP",5.43349124410797,"female","pituitary","prolong","x.g50_female_pituitary_inc.prolong"
"AVP",5.09617484266787,"female","pituitary","inc.d9","x.g9.o166_female_pituitary_inc.d9.NYNO"
"AVP",5.09617484266787,"female","pituitary","inc.d17","x.o159.w90_female_pituitary_inc.d17"
"AVP",5.42418058815159,"female","pituitary","m.n2","x.o171.w45_female_pituitary_m.hatch"
"AVP",5.5204574071609,"female","pituitary","n5","x.o175.g21_female_pituitary_n5"
"AVP",5.09617484266787,"female","pituitary","hatch","x.o37.blu50_female_pituitary_hatch"
"AVP",5.48831901813073,"female","pituitary","m.n2","x.o61_female_pituitary_extend.hatch"
"AVP",5.30235601315571,"female","pituitary","n5","x.o70_female_pituitary_n5"
"AVP",5.46855439864904,"female","pituitary","m.inc.d3","x.r180_female_pituitary_m.inc.d3"
"AVP",5.09617484266787,"female","pituitary","inc.d3","x.r33.w183_female_pituitary_inc.d3"
"AVP",5.09617484266787,"female","pituitary","bldg","x.r39.g10_female_pituitary_bldg"
"AVP",5.09617484266787,"female","pituitary","hatch","x.r44.w95_female_pituitary_hatch"
